Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios
46018;Alcublas;0.8;76.6;0.6913766151763372;710.0;12376.0;31.0;0.0;3.0;9.0;0.0;5.0;13.0;3.0;3.0;0.0;26.0
46019;Alcúdia,;0.8;76.6;0.6518209088307981;12587.0;13681.0;496.0;25.0;67.0;106.0;23.0;142.0;133.0;50.0;75.0;25.0;304.0
46020;Alcúdia;0.8;76.6;0.5950310491101053;5548.0;12150.0;345.0;9.0;29.0;79.0;8.0;67.0;153.0;8.0;61.0;27.0;238.0
46021;Aldaia;0.8;76.6;0.5858483515254395;34630.0;12813.0;2304.0;89.0;286.0;490.0;90.0;514.0;835.0;22.0;354.0;166.0;1546.0
46022;Alfafar;0.8;76.6;0.5635720444677211;22270.0;11842.0;1732.0;47.0;224.0;401.0;55.0;374.0;631.0;15.0;230.0;110.0;1273.0
46023;Alfauir;0.8;76.6;0.714324213165313;515.0;13843.0;22.0;0.0;3.0;10.0;3.0;3.0;6.0;0.0;3.0;0.0;18.0
46024;Alfara;0.8;76.6;0.6666766382060313;624.0;13045.0;37.0;3.0;3.0;7.0;3.0;8.0;14.0;0.0;3.0;3.0;31.0
46025;Alfara;0.8;76.6;0.6994416516704263;3740.0;14463.0;133.0;8.0;13.0;35.0;7.0;29.0;41.0;3.0;16.0;12.0;91.0
46026;Alfarb;0.8;76.6;0.6684799436350388;1763.0;13795.0;53.0;3.0;11.0;10.0;3.0;12.0;14.0;3.0;10.0;5.0;31.0
46027;Alfarrasí;0.8;76.6;0.6485369447706599;1173.0;13734.0;49.0;3.0;8.0;9.0;3.0;11.0;19.0;3.0;14.0;3.0;30.0
46028;Algar;0.8;76.6;0.6768463496315651;565.0;15075.0;26.0;3.0;5.0;7.0;3.0;3.0;8.0;0.0;3.0;3.0;17.0
46029;Algemesí;0.8;76.6;0.609713750585587;28306.0;13257.0;1443.0;67.0;202.0;292.0;73.0;366.0;443.0;80.0;276.0;92.0;865.0
46030;Algímia;0.8;76.6;0.6961024301307926;1115.0;14109.0;49.0;3.0;3.0;10.0;3.0;13.0;19.0;3.0;3.0;3.0;37.0
46031;Alginet;0.8;76.6;0.6489323379428651;14844.0;13188.0;671.0;27.0;105.0;134.0;23.0;178.0;204.0;27.0;95.0;35.0;454.0
46032;Almàssera;0.8;76.6;0.6678867039761194;7887.0;14815.0;429.0;14.0;50.0;86.0;17.0;94.0;168.0;8.0;69.0;31.0;303.0
46033;Almiserà;0.8;76.6;0.6665305531231693;278.0;12798.0;14.0;3.0;3.0;6.0;0.0;3.0;3.0;3.0;3.0;0.0;11.0
46034;Almoines;0.8;76.6;0.6560077647956539;2664.0;12571.0;147.0;10.0;26.0;34.0;3.0;34.0;40.0;3.0;15.0;10.0;118.0
46035;Almussafes;0.8;76.6;0.6815935815013794;9070.0;15900.0;474.0;14.0;64.0;113.0;10.0;95.0;178.0;5.0;117.0;13.0;318.0
46036;Alpuente;-2.0;76.6;0.6923115488789635;688.0;13321.0;17.0;0.0;3.0;5.0;0.0;3.0;6.0;0.0;3.0;3.0;11.0
46037;Alqueria;0.8;76.6;0.6564993275136561;1547.0;13197.0;94.0;3.0;15.0;26.0;0.0;19.0;30.0;0.0;7.0;9.0;76.0
46038;Andilla;0.8;76.6;0.6724218573349412;338.0;16512.0;19.0;0.0;5.0;6.0;3.0;3.0;6.0;3.0;3.0;3.0;12.0
46039;Anna;0.8;76.6;0.6495207730522818;2600.0;12848.0;105.0;3.0;18.0;30.0;3.0;17.0;36.0;5.0;19.0;10.0;69.0
46040;Antella;0.8;76.6;0.7047107168128229;1130.0;13577.0;38.0;3.0;9.0;8.0;3.0;7.0;11.0;3.0;3.0;3.0;28.0
46041;Aras;0.8;76.6;0.7053158335731279;401.0;13394.0;9.0;0.0;3.0;3.0;3.0;3.0;0.0;0.0;3.0;3.0;6.0
46042;Aielo;0.8;76.6;0.6202526262616899;4624.0;12935.0;160.0;6.0;17.0;37.0;5.0;31.0;64.0;12.0;54.0;7.0;83.0
46043;Aielo;0.8;76.6;0.9166334101140101;160.0;18555.0;3.0;0.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0
46044;Ayora;0.8;76.6;0.6224452016310407;5282.0;12901.0;329.0;9.0;36.0;53.0;17.0;73.0;141.0;12.0;47.0;17.0;241.0
46045;Barxeta;0.8;76.6;0.7087351002215949;1578.0;13155.0;49.0;3.0;7.0;9.0;3.0;13.0;17.0;3.0;6.0;5.0;37.0
