Codigo_municipio;Municipios;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;Demanda_score;Demanda_comedor
46150;Llutxent;2314.0;11614.0;81.0;3.0;11.0;22.0;0.0;18.0;27.0;3.0;7.0;9.0;64.0;0.142836786474142;2
46151;Llocnou;944.0;12823.0;38.0;3.0;6.0;7.0;3.0;8.0;14.0;3.0;0.0;3.0;32.0;0.1254654716814234;2
46152;Llocnou;132.0;13251.0;11.0;0.0;0.0;3.0;3.0;3.0;5.0;0.0;3.0;3.0;8.0;0.11909928779085942;2
46153;Llocnou;594.0;13960.0;26.0;0.0;3.0;6.0;0.0;5.0;13.0;3.0;3.0;3.0;22.0;0.10970464111899897;2
46154;Llanera;1062.0;11687.0;73.0;8.0;9.0;16.0;3.0;12.0;26.0;3.0;13.0;6.0;46.0;0.14132487511747097;2
46155;Llaurí;1226.0;12981.0;64.0;3.0;11.0;23.0;3.0;12.0;15.0;3.0;9.0;6.0;47.0;0.12362787562899868;2
46156;Llombai;2791.0;13081.0;104.0;3.0;8.0;26.0;3.0;26.0;37.0;11.0;14.0;3.0;74.0;0.1231591885609623;2
46157;Llosa;3765.0;12451.0;155.0;3.0;17.0;23.0;5.0;34.0;72.0;3.0;15.0;12.0;115.0;0.13254648258715498;2
46158;Macastre;1461.0;13100.0;94.0;3.0;7.0;27.0;6.0;22.0;29.0;0.0;16.0;3.0;62.0;0.12234026063725183;2
46159;Manises;32609.0;12640.0;2404.0;102.0;304.0;501.0;96.0;517.0;884.0;32.0;290.0;141.0;1810.0;0.1593250232906522;2
46160;Manuel;2560.0;12885.0;134.0;3.0;16.0;28.0;3.0;31.0;55.0;7.0;21.0;10.0;93.0;0.12600897241229866;2
46161;Marines;1967.0;13725.0;96.0;3.0;8.0;28.0;3.0;22.0;35.0;3.0;12.0;3.0;79.0;0.11399873341538136;2
